Date,Open,High,Low,Close,Volume
07/02/2026,891,891,891,891,1224350.00
07/01/2026,891,891,891,891,986758.00
06/30/2026,963,963,963,963,765054.00
06/29/2026,963,963,963,963,1052268.00
06/26/2026,963,963,963,963,1340331.00
06/25/2026,963,963,963,963,1003908.00
06/24/2026,963,963,963,963,490108.00
06/23/2026,"1,070.00","1,070.00","1,070.00","1,070.00",553660.00
06/22/2026,"1,070.00","1,070.00","1,070.00","1,070.00",532547.00
06/19/2026,"1,070.00","1,070.00","1,070.00","1,070.00",975038.00
06/18/2026,"1,070.00","1,070.00","1,070.00","1,070.00",1473245.00
06/17/2026,"1,155.00","1,155.00","1,155.00","1,155.00",744452.00
06/16/2026,"1,155.00","1,155.00","1,155.00","1,155.00",959253.00
06/15/2026,"1,155.00","1,155.00","1,155.00","1,155.00",636912.00
06/11/2026,"1,155.00","1,155.00","1,155.00","1,155.00",339746.00
06/10/2026,"1,155.00","1,155.00","1,155.00","1,155.00",572966.00
06/09/2026,"1,155.00","1,155.00","1,155.00","1,155.00",1944811.00
06/08/2026,"1,180.00","1,180.00","1,180.00","1,180.00",34772305.00
06/05/2026,"1,180.00","1,180.00","1,180.00","1,180.00",1136842.00
06/04/2026,"1,180.00","1,180.00","1,180.00","1,180.00",1133903.00
06/03/2026,"1,180.00","1,180.00","1,180.00","1,180.00",622250.00
06/02/2026,"1,180.00","1,180.00","1,180.00","1,180.00",824929.00
